y_Медианный доход по району	Широта	Долгота	Медианная стоимость дома в районе	Средний возраст населения	Всего номеров в районе	Население района	Всего домохозяйств в районе	Всего спален в районе
4.8304	33.92	-118.32	152800	35	1281	710	184	219
2.0437	33.93	-118.29	137200	31	3894	3590	962	1017
3.6920	33.92	-118.29	145200	34	1799	1293	355	362
5.3292	33.92	-118.29	155500	34	1374	906	248	240
3.0139	33.92	-118.30	154700	34	2053	1258	380	382
3.7969	33.93	-118.30	169400	29	2228	1140	352	396
3.0147	33.91	-118.30	155100	30	1842	1491	420	476
2.6182	33.91	-118.30	172600	34	1617	1530	500	493
2.6312	33.90	-118.31	171300	28	1576	891	378	400
2.3043	33.91	-118.29	177500	28	1501	1028	418	446
1.7714	33.90	-118.29	159400	27	1013	1067	400	394
3.6000	33.90	-118.30	208800	29	2617	1868	647	668
3.4000	33.90	-118.30	224100	27	3267	2099	647	762
3.2870	33.90	-118.30	181400	19	2421	1726	660	689
3.0329	33.89	-118.30	207800	30	2756	1806	787	858
3.2850	33.89	-118.30	218100	37	2132	1369	565	565
3.5417	33.90	-118.31	198400	38	1400	1131	405	399
2.7428	33.89	-118.29	208900	33	2138	1072	528	567
4.2171	33.89	-118.29	218200	32	2355	1605	571	583
3.0739	33.88	-118.29	218600	36	1751	1175	419	438
3.3281	33.88	-118.29	237000	21	4946	3186	1167	1231
3.1597	33.87	-118.30	214700	27	3144	1510	680	722
5.0641	33.87	-118.30	234900	31	1398	823	263	261
4.0536	33.88	-118.30	253600	26	1221	807	330	312
3.7375	33.88	-118.30	247700	29	850	563	204	229
3.2574	33.88	-118.30	195300	30	1348	885	322	333
2.8445	33.88	-118.30	242100	35	3227	1881	696	749
3.5644	33.88	-118.31	242300	32	2421	1491	587	671
3.5556	33.88	-118.31	238000	35	1939	1036	400	412
2.3812	33.88	-118.31	237500	21	1490	686	400	430
3.4792	33.90	-118.31	194700	30	2407	1724	531	581
3.7639	33.89	-118.31	220600	37	2278	1257	498	508
4.1458	33.89	-118.31	231500	35	2144	1192	417	423
4.0473	33.90	-118.32	212100	36	1520	831	291	300
4.1344	33.90	-118.32	210300	36	1741	1245	423	412
3.0526	33.90	-118.32	216400	37	1664	1316	409	401
4.5053	33.89	-118.32	242000	34	2675	1270	492	560
4.9779	33.90	-118.34	224600	23	2395	1309	493	498
5.5133	33.90	-118.34	227300	37	542	355	118	105
4.7426	33.90	-118.34	242700	36	1158	628	253	219
4.1776	33.90	-118.34	236600	36	1342	706	261	259
4.1953	33.89	-118.33	226900	39	1880	982	357	361
6.0088	33.89	-118.34	245900	36	2392	1346	445	444
5.3730	33.89	-118.34	244500	36	2274	1232	423	411
3.4698	33.90	-118.35	225000	31	1547	956	287	344
4.8750	33.90	-118.35	232400	31	981	734	239	222
3.6486	33.89	-118.35	229000	29	2940	2175	684	708
4.1552	33.89	-118.35	233900	34	1740	1249	375	387
2.9551	33.90	-118.36	205000	41	1355	655	329	349
3.3971	33.90	-118.35	220300	22	1127	697	241	287
4.2829	33.89	-118.35	240000	30	1143	776	273	299
3.3750	33.89	-118.36	228000	37	1719	1266	424	426
5.3169	33.89	-118.36	227600	34	760	723	198	174
4.0727	33.90	-118.36	214000	18	3380	2276	854	922
3.1325	33.89	-118.36	215000	27	2837	2141	648	684
4.2454	33.88	-118.36	236800	33	2408	1644	523	534
2.6500	33.88	-118.36	260800	28	1313	827	308	319
3.2049	33.88	-118.36	267400	25	2845	1611	628	710
2.7981	33.88	-118.36	275000	22	1388	930	287	336
3.9844	33.88	-118.36	230700	26	1375	829	278	286
3.0833	33.89	-118.35	232700	25	1769	1371	414	440
4.0737	33.88	-118.35	238200	36	1583	1097	350	411
3.2594	33.88	-118.35	233900	36	1567	1054	386	362
3.3500	33.88	-118.35	237500	25	1459	1150	354	362
2.4250	33.74	-118.30	255000	40	1896	950	383	416
3.9375	33.74	-118.30	270500	28	1065	887	217	215
5.2500	33.92	-118.39	247200	41	80	61	23	20
3.6389	33.92	-118.41	275000	29	1436	674	343	401
4.7404	33.88	-118.36	295800	31	2518	1107	508	543
4.9375	33.87	-118.36	293000	19	2512	1275	544	575
6.0200	33.87	-118.37	304200	19	757	361	141	148
4.6750	33.87	-118.38	316900	27	2287	1101	466	491
3.9868	33.87	-118.36	281900	17	1082	598	281	291
3.4208	33.87	-118.36	290000	22	2114	1300	538	541
5.5456	33.86	-118.36	297400	35	2126	1044	433	434
5.0784	33.86	-118.36	295900	37	1768	802	290	314
5.5430	33.86	-118.36	305900	34	1865	963	302	345
4.9821	33.87	-118.38	292900	21	4151	2054	925	1018
2.4219	33.88	-118.31	260700	33	2147	1371	498	505
5.3244	33.87	-118.32	271900	28	3763	1967	724	762
4.3036	33.88	-118.32	282100	35	1818	828	319	339
5.5538	33.88	-118.32	280300	34	1803	947	333	341
6.4781	33.88	-118.32	269000	37	1402	722	251	254
3.1505	33.88	-118.33	270000	30	1856	899	435	444
3.2417	33.88	-118.33	283300	36	1271	811	345	346
3.6988	33.87	-118.34	266600	28	4605	2558	1093	1188
3.8657	33.88	-118.34	298400	31	3122	1885	715	727
4.7543	33.87	-118.31	296300	27	3348	1545	625	695
4.6563	33.86	-118.32	291700	32	3485	1715	649	678
5.6254	33.87	-118.32	283800	35	2380	1212	422	404
4.6406	33.87	-118.34	255900	34	1069	601	212	217
4.2614	33.87	-118.33	267100	36	2219	1219	403	406
6.4891	33.87	-118.33	278100	35	743	385	137	128
6.4391	33.86	-118.32	252300	34	495	269	93	90
6.0335	33.86	-118.33	255400	38	914	519	174	176
6.3992	33.86	-118.33	259600	36	854	473	150	160
4.0000	33.86	-118.33	248600	38	1059	561	205	218
5.2590	33.86	-118.34	279400	36	2223	1162	376	360
5.4791	33.86	-118.34	285900	35	1936	1008	346	343
5.3743	33.87	-118.34	286500	28	2948	1445	524	566
4.5833	33.87	-118.35	261300	37	1420	886	290	286
5.5000	33.87	-118.35	279600	34	2823	1429	483	500
3.6169	33.87	-118.35	257000	28	2319	1369	564	579
3.9732	33.86	-118.35	281500	28	2075	1216	446	463
4.3859	33.86	-118.35	271300	24	2139	971	418	481
6.2778	33.84	-118.34	309700	36	1561	740	253	252
5.3131	33.84	-118.33	314100	36	1364	668	245	251
3.4020	33.82	-118.31	279900	35	3462	1902	700	814
5.2363	33.83	-118.32	310000	19	3792	2105	834	790
5.0951	33.80	-118.34	318900	33	2194	987	397	469
4.8750	33.80	-118.35	311700	32	1434	672	285	296
3.7167	33.80	-118.31	308900	29	2795	1469	557	572
4.0536	33.80	-118.32	285800	29	3254	1593	680	717
3.2472	33.79	-118.31	254700	35	2290	1374	530	563
4.0425	33.80	-118.31	277900	31	4464	2420	947	991
3.1648	33.80	-118.32	244800	39	1415	729	278	298
3.8287	33.79	-118.32	279900	35	2924	1675	602	658
4.1477	33.79	-118.32	315100	32	2381	1264	488	467
3.1275	33.80	-118.32	286400	29	4317	2102	959	1037
3.3958	33.79	-118.31	250000	38	1601	711	304	352
2.4432	34.09	-118.34	200000	37	1442	998	503	501
1.6081	34.09	-118.35	288900	35	1989	1108	593	634
3.0349	34.09	-118.35	266700	35	2705	1526	793	785
2.5444	34.09	-118.35	236100	35	2234	1334	662	689
1.7558	34.09	-118.36	312500	34	2832	1594	843	883
2.6000	34.09	-118.36	313600	36	1616	773	429	465
2.0205	34.09	-118.36	243800	33	3463	1845	1134	1170
2.0702	34.09	-118.36	283300	30	2353	1365	718	728
2.5812	34.09	-118.36	200000	36	1390	874	468	458
3.0156	34.09	-118.37	300000	38	4408	1690	1229	1295
2.6713	34.08	-118.37	312500	28	4376	1847	1128	1202
2.5784	34.09	-118.38	272900	28	4001	1799	1220	1352
2.7750	34.02	-118.50	291700	24	2924	1492	943	1013
3.7381	34.03	-118.47	290600	29	3287	1523	823	882
1.3333	34.03	-118.48	310000	19	902	414	272	284
2.6639	34.02	-118.46	233300	29	2329	1953	800	833
2.3382	34.02	-118.47	297500	38	2163	1759	584	651
2.7019	34.02	-118.48	293800	25	1583	983	422	460
2.1250	34.03	-118.37	196400	39	213	138	52	44
3.5909	34.02	-118.39	279400	38	2447	1312	574	636
2.8797	34.01	-118.41	285300	33	3306	2475	924	974
2.5500	34.00	-118.41	271400	38	324	268	73	70
3.7614	34.00	-118.43	314300	37	1340	1008	340	358
5.3194	33.99	-118.36	313700	35	3702	1449	614	648
3.4600	34.71	-117.96	123900	32	3511	1733	510	646
2.4348	34.74	-118.09	104800	34	1218	797	248	285
4.6417	34.69	-118.12	125700	17	2479	1219	363	390
2.7500	34.69	-118.13	96800	34	2156	1269	388	397
4.0250	34.68	-118.13	102600	28	718	347	121	124
2.6700	34.65	-118.10	187500	33	873	425	142	177
2.4150	34.71	-118.10	137500	16	3914	1524	795	819
2.5179	34.71	-118.12	104000	26	4230	2789	793	823
1.1296	34.70	-118.13	93800	34	1943	1078	446	500
3.6820	34.69	-118.13	108800	32	3670	1986	673	765
3.7804	34.69	-118.12	113500	27	3019	1580	523	501
2.4432	34.68	-118.14	101100	31	2666	1337	602	662
3.4327	34.69	-118.14	100300	35	2118	1108	360	374
4.2679	34.68	-118.14	119600	33	2815	1447	489	485
4.5455	34.68	-118.14	126500	25	1703	775	309	342
3.2500	34.69	-118.15	107500	32	1300	712	249	234
4.6591	34.65	-118.14	247200	20	1257	551	186	201
3.5625	34.71	-118.15	101400	36	1338	709	250	250
2.8194	34.71	-118.14	93000	33	2347	1482	374	461
2.5278	34.71	-118.15	97700	35	1503	842	300	309
2.0182	34.70	-118.14	98400	36	1205	678	290	317
3.9615	34.70	-118.15	116300	36	2696	1192	452	454
4.8787	34.70	-118.16	127700	33	2918	1365	478	494
3.9028	34.69	-118.16	126800	35	3114	1974	545	583
3.2699	34.69	-118.14	100000	34	1439	708	298	327
4.7875	34.76	-118.28	163600	19	3430	1817	571	601
2.1979	34.77	-118.19	146400	16	2035	704	330	370
3.9963	34.65	-118.19	126800	33	1781	913	314	326
4.3636	34.67	-118.22	179700	28	2357	1162	384	408
3.6382	34.66	-118.23	138200	25	2627	1059	338	387
4.9000	34.66	-118.22	152400	17	3810	1867	586	662
3.0441	34.65	-118.21	140100	17	4001	2313	756	814
3.5673	34.65	-118.23	136300	17	1827	766	335	348
3.2125	34.68	-118.27	185400	19	552	314	106	129
4.8409	34.62	-118.32	264900	31	1398	884	299	273
4.3456	34.58	-118.38	148900	18	1859	913	372	375
5.0839	34.73	-118.61	156700	25	3080	1558	510	587
1.4091	34.63	-117.92	137500	34	81	53	14	26
1.9722	34.63	-118.09	99200	31	1537	1239	397	416
2.1413	34.62	-118.02	96900	38	248	261	53	55
4.1573	34.63	-118.18	228100	19	3562	1677	578	606
2.3958	34.60	-118.12	94500	33	2189	1459	443	497
3.7344	34.59	-118.15	111400	33	2111	1067	397	429
5.9508	34.64	-118.21	181100	16	2573	1273	426	427
3.7464	34.58	-118.13	113500	29	2370	1746	483	475
3.2750	34.58	-118.10	103500	32	1489	774	267	306
2.6658	34.58	-118.10	106900	29	2843	1517	573	603
4.0147	34.58	-118.07	107400	34	3416	1929	567	601
3.8600	34.58	-118.06	109300	36	1493	899	260	258
4.5769	34.48	-117.96	159400	32	1896	806	299	342
3.2765	34.45	-117.79	165000	18	2986	1355	472	597
6.0097	34.45	-118.50	220200	25	1290	689	216	190
3.3750	34.47	-118.48	187500	36	84	29	17	12
5.3209	34.44	-118.52	185000	26	934	519	162	148
5.1163	34.44	-118.53	233200	19	3013	1356	484	507
5.2374	34.45	-118.53	185500	26	828	508	158	149
6.0398	34.44	-118.53	217800	19	1285	650	193	195
4.7007	34.42	-118.46	169500	25	2988	1884	513	525
4.4107	34.42	-118.49	213400	23	4166	2082	743	756
5.0166	34.42	-118.48	229000	21	1375	728	258	259
3.0380	34.42	-118.47	238500	17	913	530	201	228
5.2887	34.42	-118.47	183000	25	3223	1763	508	524
3.2270	34.38	-118.53	136100	18	2288	2305	597	607
6.8299	34.38	-118.54	262100	18	2096	1044	328	309
4.8536	34.37	-118.56	202600	23	3927	1984	707	728
4.1125	34.30	-118.38	183000	39	1622	903	314	355
2.3482	37.34	-119.53	179500	26	4047	571	199	702
2.9449	37.21	-119.45	95600	17	3538	1603	629	726
3.5500	37.09	-119.65	106300	17	1280	707	267	254
3.5446	37.39	-119.59	106500	19	3273	1164	481	611
2.6071	37.38	-119.72	103700	16	2131	989	369	424
3.6250	37.23	-119.91	94400	17	2171	1042	375	389
2.4054	37.11	-120.31	112500	38	1696	985	278	301
3.2868	37.04	-120.25	91700	21	1724	1006	290	317
2.6012	36.98	-120.21	92200	21	1667	861	276	303
3.0000	36.96	-120.16	156300	18	508	393	114	104
3.8952	36.96	-120.11	95300	17	3344	1624	536	570
1.9063	37.06	-120.08	95800	18	402	213	71	76
2.6087	36.96	-119.95	96000	18	1996	1327	356	379
3.6181	36.96	-120.07	96500	34	1457	557	226	239
4.8187	36.96	-120.10	90900	20	2100	910	274	317
4.1544	36.95	-120.09	119400	16	3222	1425	503	511
5.3755	38.13	-122.59	290900	20	1589	601	224	231
3.1981	38.11	-122.57	215300	24	2863	1583	682	734
3.4705	38.11	-122.57	228600	32	3521	1706	723	748
3.8068	38.11	-122.60	201600	19	1752	873	336	328
5.5524	38.11	-122.65	279200	21	3891	1968	632	616
4.3182	38.01	-122.45	252700	36	4501	2196	800	832
5.4781	38.01	-122.53	310900	27	3121	1318	489	531
3.9519	38.00	-122.51	274200	17	2449	1157	543	536
4.6000	38.01	-122.56	239500	21	2144	840	398	400
3.1800	38.00	-122.54	277000	28	3416	1694	800	826
3.9265	38.00	-122.55	301100	18	3119	1395	722	803
4.8993	37.99	-122.55	319900	34	3306	1398	585	555
2.7500	37.97	-122.52	231300	33	563	265	169	194
3.6863	37.96	-122.51	263800	39	3302	1574	653	684
3.5588	37.97	-122.53	268800	37	1340	621	314	322
3.9917	37.96	-122.53	290800	35	908	413	197	194
3.9712	37.95	-122.47	187500	16	3769	1986	815	839
6.1359	37.96	-122.50	212500	16	100	45	25	20
5.5789	38.01	-122.64	292000	36	1336	678	249	258
3.7321	38.01	-122.64	266700	36	1199	551	229	232
4.2011	38.01	-122.68	255400	41	1865	825	369	392
5.0766	38.01	-122.65	305400	40	1428	708	255	280
4.1659	37.99	-122.59	302000	36	4869	1899	827	871
4.1098	38.00	-122.60	246600	21	2198	1100	449	462
4.7344	37.94	-122.53	200000	18	878	384	247	255
4.1250	37.93	-122.53	310300	37	1722	648	337	352
5.5926	37.92	-122.50	300900	30	2270	974	351	359
3.6731	37.93	-122.48	318000	16	2947	1385	743	802
4.4239	37.90	-122.52	267100	16	1704	689	348	402
4.4583	37.88	-122.53	308600	36	2688	1064	449	485
2.8620	37.87	-122.51	258400	21	3904	1949	919	980
2.9145	37.85	-122.47	140400	19	1926	881	546	593
3.1150	37.90	-122.71	242600	23	1250	437	188	257
3.8269	38.07	-122.84	270700	31	1858	701	297	367
3.5469	38.02	-122.93	200000	28	1284	628	219	265
3.1429	38.26	-122.96	240900	20	1982	308	132	358
3.4609	38.08	-122.81	238800	19	1615	815	337	366
3.6250	38.18	-122.80	253100	36	2378	957	362	476
2.7188	37.57	-120.02	113100	17	2116	909	319	425
1.5000	37.47	-119.95	91500	32	1312	600	265	315
3.8333	37.67	-119.81	93800	24	172	79	30	42
2.5000	37.48	-119.84	104200	17	2582	1087	423	553
2.6838	37.61	-119.64	164600	30	2857	291	135	661
1.5278	39.83	-123.84	145800	19	1461	515	227	340
3.0433	39.45	-123.64	140700	21	3359	1908	642	677
2.3250	39.50	-123.79	157300	24	1421	588	274	291
2.7857	39.47	-123.80	150300	28	2492	1202	460	507
2.7000	39.44	-123.73	165000	32	790	380	142	151
2.9243	39.46	-123.80	131600	35	1718	698	299	345
1.9208	39.44	-123.80	93600	33	2024	1019	422	459
2.7813	39.44	-123.79	105800	36	1330	761	286	273
3.2171	39.44	-123.79	116200	16	2017	1177	414	423
2.3906	39.42	-123.32	92600	22	2085	1133	402	432
2.6424	39.37	-123.38	124600	18	3946	1899	730	813
3.5880	39.43	-123.37	96000	32	2780	1281	479	470
1.7460	39.36	-123.10	105000	19	1056	611	226	248
3.9632	39.33	-123.23	147100	20	804	448	140	121
2.8833	39.31	-123.15	154200	19	1026	424	152	205
3.3431	39.32	-123.11	137500	20	2745	1421	430	504
3.7880	39.26	-123.18	134200	25	3066	1558	535	570
2.5875	39.25	-123.36	144500	17	1087	522	202	254
2.1250	39.23	-123.18	175000	18	243	115	54	55
2.2926	39.20	-123.21	149300	17	3145	1560	647	693
3.5917	39.21	-123.19	118800	22	1542	821	285	291
2.3583	39.23	-123.20	105400	26	786	494	161	168
3.2500	39.37	-123.75	151400	16	1377	830	279	296
3.1840	39.39	-123.85	140500	23	4671	2095	857	912
3.1563	39.34	-123.81	277000	17	1981	773	325	371
3.1071	39.32	-123.70	213200	18	1652	711	292	352
3.3654	39.31	-123.81	225000	23	2754	887	432	577
2.3750	39.17	-123.73	158800	20	4620	1745	794	1042
2.5625	38.93	-123.53	165600	38	1706	506	211	355
2.1985	38.90	-123.69	95300	17	2206	1140	428	478
2.2946	39.17	-123.54	101000	18	2251	1032	369	510
3.4063	38.99	-123.39	109400	28	1416	812	258	294
2.7232	39.01	-123.36	115400	35	1551	857	288	321
2.6275	39.18	-123.21	142100	17	2772	1501	584	576
3.7833	39.07	-123.21	159800	17	1890	877	312	342
3.6587	39.16	-123.22	154600	32	1149	499	208	187
3.8958	39.13	-123.23	144000	33	1176	529	217	211
3.5938	39.15	-123.22	122100	36	1166	504	203	216
3.0000	39.14	-123.21	114600	39	1419	661	278	262
4.0469	39.13	-123.21	127400	27	1531	822	234	266
2.0074	39.15	-123.20	96200	27	990	592	225	238
2.6012	39.15	-123.19	125600	16	2577	1232	488	495
1.6571	39.15	-123.21	108900	31	2685	1367	626	675
1.8042	39.14	-123.20	109200	17	1620	878	399	396
3.8333	39.15	-123.10	116100	32	1143	454	188	208
4.4250	39.15	-123.17	161900	30	1904	816	325	331
1.7813	39.13	-123.16	94700	33	1320	1048	303	303
2.7750	39.10	-123.16	120800	31	418	327	81	82
2.7171	38.94	-123.15	95800	22	2163	1048	358	436
2.5761	38.97	-123.10	94900	36	1211	697	251	247
3.6182	37.44	-120.75	123200	27	2295	1252	350	424
2.7562	37.44	-120.76	90500	18	2003	1333	411	398
3.1111	37.40	-120.86	113900	17	3511	1904	617	636
3.7784	37.43	-120.84	164500	32	2892	1580	484	521
3.0000	37.40	-120.94	109400	32	1175	774	222	208
2.6908	37.37	-120.88	103100	24	1294	684	221	222
2.0417	37.33	-120.89	94200	27	2692	1518	447	481
4.1058	37.33	-120.65	107600	25	1731	810	266	311
4.0694	37.36	-120.63	110200	16	1605	866	284	282
3.0030	37.35	-120.57	101300	18	704	520	154	176
2.0066	37.20	-120.64	125000	16	2236	1361	393	438
3.3194	37.32	-120.55	141400	21	1410	590	205	229
2.0809	37.16	-120.41	95800	21	1684	1052	312	341
3.4559	37.34	-120.50	108000	16	1245	956	219	231
5.2522	37.32	-120.43	125300	16	1170	566	181	178
4.8214	37.32	-120.45	117800	21	1318	618	197	202
3.6471	37.32	-120.45	101400	19	3136	1631	484	466
5.2662	37.31	-120.44	126200	16	3369	1770	574	532
3.7652	37.31	-120.45	133500	20	4379	2055	716	753
3.4800	37.31	-120.46	95300	26	3170	1524	565	572
1.7222	37.29	-120.44	101500	18	1260	576	263	268
2.4286	37.34	-120.30	103600	33	993	556	175	186
3.3929	37.21	-120.24	93800	31	2447	1313	352	465
3.1738	37.25	-121.00	97600	31	1923	806	349	341
2.6087	37.25	-121.00	96200	21	1937	1002	373	389
2.7316	37.25	-121.01	97500	16	2216	1135	424	458
3.0909	37.18	-121.06	123400	30	2603	1491	473	507
3.2262	37.21	-120.89	97200	25	3301	994	306	678
2.0216	37.09	-121.02	112500	17	1118	560	244	270
2.5074	36.94	-121.02	117700	33	1541	880	272	313
3.1250	37.01	-120.77	156300	28	1689	1057	267	378
2.2019	37.07	-120.84	100000	24	1520	882	306	335
2.5950	37.05	-120.87	104200	29	4176	2092	741	779
3.1719	37.05	-120.85	140600	32	2893	1198	466	481
2.5598	37.07	-120.83	120200	16	3736	1942	730	761
2.4398	37.09	-120.65	150000	22	886	595	161	173
1.5817	38.53	-119.44	97800	20	1963	682	273	434
2.9509	38.26	-119.30	114800	19	3325	750	286	660
2.7656	37.78	-119.08	130000	17	1631	285	128	335
3.7315	37.58	-118.74	159300	20	3301	1085	448	779
4.5375	37.65	-118.98	169800	18	1795	483	208	416
5.0100	37.65	-118.99	195500	20	2474	338	141	625
3.0500	37.64	-118.98	188900	17	3769	1160	453	908
4.1742	36.72	-121.64	159900	17	4203	2900	827	816
4.3451	36.71	-121.62	177800	24	4195	2200	647	706
5.0374	36.74	-121.62	165400	30	1337	838	247	253
4.1675	36.70	-121.64	142500	32	4089	2927	713	735
3.0827	36.70	-121.65	148100	29	4964	2773	1036	1056
3.2929	36.71	-121.66	157500	27	4131	2002	815	886
3.4222	36.70	-121.66	158100	33	3252	2010	641	630
2.1766	36.68	-121.63	108500	24	2591	3243	702	739
2.8542	36.68	-121.61	127600	37	3149	3456	788	833
2.5224	36.67	-121.61	119200	39	3260	3130	793	821
2.5329	36.67	-121.62	135200	31	2697	2220	665	690
2.5263	36.67	-121.63	130400	34	2486	2443	557	560
3.0197	36.67	-121.64	137500	28	256	214	60	66
5.2285	36.66	-121.64	248100	24	3174	1466	535	506
3.2355	36.66	-121.65	214200	30	3745	1762	748	767
1.9385	36.67	-121.65	123200	28	1926	1717	535	556
3.1439	36.67	-121.66	192300	40	2878	1444	564	592
3.1071	36.67	-121.66	193100	40	2497	1275	508	520
3.9219	36.67	-121.67	222500	24	3071	1477	560	544
2.7321	36.85	-121.79	150000	28	1049	705	208	235
3.3472	36.87	-121.77	293800	37	424	266	64	65
2.5195	36.90	-121.73	136900	23	2392	3074	718	721
4.6125	36.90	-121.71	253800	16	1680	1103	275	285
3.6693	36.83	-121.76	211000	28	1445	1017	284	268
4.4271	36.86	-121.73	175700	28	827	703	144	178
3.7766	36.88	-121.71	177000	19	2528	2332	492	554
3.6607	36.85	-121.73	206300	22	1304	887	227	278
4.9107	36.84	-121.70	231900	19	2511	1551	450	465
4.5787	36.85	-121.65	245100	20	2606	1361	426	424
3.3380	36.80	-121.69	185300	19	2164	1309	426	410
4.3814	36.79	-121.74	245300	16	3841	1799	611	620
3.2969	36.81	-121.72	229900	18	1984	1078	359	379
4.5272	36.81	-121.69	221000	18	2837	1454	458	522
5.0092	36.82	-121.66	238700	17	3921	1895	641	654
4.1696	36.82	-121.64	222500	18	1819	919	295	283
3.8424	36.75	-121.76	155700	21	1141	671	195	257
3.0347	36.77	-121.70	227200	21	2294	1306	430	478
2.3384	36.77	-121.76	121000	27	1608	2031	498	503
3.2937	36.77	-121.75	135300	25	1851	1678	390	418
2.7694	36.76	-121.75	132400	32	1740	1563	389	399
4.1696	36.74	-121.64	175000	30	2628	1372	432	444
5.2203	36.81	-121.60	286500	18	1575	751	219	230
3.3456	36.67	-121.70	252600	37	641	458	142	129
6.0332	36.62	-121.69	244900	19	1907	681	270	323
5.0162	36.60	-121.70	283100	19	3562	1607	505	530
5.1788	36.55	-121.59	270000	34	737	362	138	140
3.2219	36.51	-121.44	114700	31	1636	1468	339	380
1.7750	36.51	-121.45	112500	29	1045	1245	273	311
1.9722	36.49	-121.48	210700	28	1006	738	193	228
4.4209	36.49	-121.74	274600	33	2952	1264	517	565
4.2500	36.47	-121.74	279100	28	1973	970	349	343
3.5039	36.48	-121.70	288400	19	2150	1052	428	479
4.7891	36.43	-121.62	230600	20	1335	717	243	290
2.6629	36.42	-121.31	102700	21	2740	2630	564	615
2.7153	36.43	-121.32	114300	22	2927	2546	618	637
2.6250	36.43	-121.33	109100	40	622	902	196	194
3.3289	36.38	-121.40	190600	39	2288	1449	410	529
3.0543	36.33	-121.23	92400	23	2095	1858	457	536
2.3000	36.32	-121.26	206300	30	146	164	40	41
2.6648	36.34	-121.24	164600	33	1691	792	262	308
3.1929	36.21	-121.13	137900	27	1476	1156	358	352
1.7548	36.21	-121.13	95800	30	1484	1200	351	414
3.4821	36.21	-121.13	113700	34	2504	1810	547	550
2.9559	36.20	-121.13	163200	16	1868	1323	436	443
3.0526	36.16	-121.39	146900	28	1057	288	130	249
3.5547	35.95	-121.32	200000	31	372	479	67	68
3.3724	35.94	-121.00	114600	16	3077	1479	536	628
5.3245	35.91	-120.51	250000	39	768	264	118	162
4.0154	36.60	-121.93	225700	33	3455	1704	663	683
3.1543	36.61	-121.92	253800	29	3735	1873	757	808
3.7250	36.62	-121.93	278000	34	2351	1063	428	440
3.1359	36.61	-121.92	268000	27	3044	1229	618	661
4.0313	36.62	-121.93	253800	39	869	406	165	173
2.4750	36.62	-121.91	258300	40	1292	504	230	271
3.3333	36.62	-121.91	247900	30	724	325	155	167
5.9175	36.78	-121.71	240200	19	2371	944	332	324
3.5147	36.63	-121.93	313900	28	3983	1582	778	852
3.1912	36.63	-121.93	319800	33	1740	638	329	342
3.4943	36.63	-121.92	311100	40	1076	406	180	193
4.3571	36.63	-121.93	287500	41	1049	428	183	198
3.0383	36.63	-121.89	217300	20	1834	971	514	554
2.9309	36.61	-121.90	217100	29	3412	1574	759	827
3.2952	36.61	-121.91	234600	30	2755	1519	554	597
4.3000	36.61	-121.92	226400	27	1619	831	344	352
2.4922	36.61	-121.92	243800	21	1242	834	362	340
2.4663	36.60	-121.90	236500	39	1629	804	386	423
2.8727	36.60	-121.90	225000	33	2461	1234	601	649
3.1977	36.58	-121.90	289300	31	1431	704	393	370
4.6964	36.59	-121.91	291300	31	2034	966	322	335
2.7917	36.60	-121.89	225000	40	626	337	150	164
2.5164	36.60	-121.88	178100	30	1671	760	375	469
2.6894	36.59	-121.88	179500	30	1822	932	496	505
3.1364	36.59	-121.89	150000	18	2700	1042	744	937
4.2109	36.61	-121.87	278800	21	1616	688	384	400
3.0380	36.60	-121.86	195300	31	1044	762	301	285
2.9085	36.60	-121.86	156300	21	3634	1985	917	1011
3.5568	36.60	-121.86	191200	33	1409	633	290	307
2.5372	36.60	-121.85	218000	21	2381	1264	659	701
4.3269	36.59	-121.84	221300	34	3852	1661	696	733
4.3472	36.60	-121.83	185000	30	2748	1491	535	502
2.5663	36.61	-121.84	128900	26	2902	2258	719	761
3.4643	36.60	-121.84	191800	30	2958	1616	666	691
2.2007	36.61	-121.84	112800	21	2876	2487	795	802
3.8015	36.61	-121.82	169100	24	2437	1430	444	438
3.4531	36.61	-121.83	133100	26	3723	2563	747	789
3.2545	36.61	-121.83	131200	27	2248	1644	453	466
3.5000	36.62	-121.83	162400	33	2938	1516	568	576
2.7708	36.62	-121.83	161800	33	1771	1037	388	398
2.4864	36.60	-121.85	140400	41	3138	1890	642	717
1.3897	36.61	-121.85	125000	38	238	191	67	72
2.5313	36.63	-121.86	108300	37	338	231	100	109
2.2250	36.62	-121.84	150000	26	32	27	10	8
2.7619	38.30	-122.30	154600	21	1108	524	274	269
2.2366	38.29	-122.28	140200	23	1398	1112	406	388
2.6518	38.29	-122.30	156100	40	1739	744	312	318
3.6083	38.28	-122.29	134200	38	2308	1272	406	425
2.8409	38.29	-122.27	153000	36	1446	678	295	306
2.0134	38.30	-122.28	142500	23	526	245	130	152
3.3021	38.29	-122.27	152700	20	3870	2088	774	795
4.5000	38.28	-122.26	158300	24	2831	1462	503	502
2.6618	38.28	-122.27	136200	37	1170	766	302	303
5.2444	38.31	-122.26	281100	33	4518	1776	669	704
1.9946	38.32	-122.27	206800	31	1267	545	297	319
2.7667	38.32	-122.29	153200	23	4312	2317	934	993
2.5035	38.32	-122.30	153200	20	2063	1045	460	486
3.4550	38.31	-122.30	137500	34	1797	1162	407	395
